n	Time taken (seconds)
100	0.0002779961
200	0.0006408691
300	0.0010449886
400	0.0013589859
500	0.0016889572
600	0.0020289421
700	0.0025138855
800	0.0028169155
900	0.0032939911
1000	0.0037529469
