n	Pivot choice	Time taken (seconds)
841	1	0.0190142000
841	2	0.0025500000
841	3	0.0025326000
851	1	0.0182639000
851	2	0.0026735000
851	3	0.0021490000
861	1	0.0250970000
861	2	0.0048442000
861	3	0.0051672000
871	1	0.0431427000
871	2	0.0040853000
871	3	0.0050795000
881	1	0.0292878000
881	2	0.0042740000
881	3	0.0036730000
891	1	0.0231165000
891	2	0.0030709000
891	3	0.0024142000
901	1	0.0217033000
901	2	0.0028378000
901	3	0.0022554000
911	1	0.0234448000
911	2	0.0036978000
911	3	0.0032434000
921	1	0.0488809000
921	2	0.0078428000
921	3	0.0047017000
931	1	0.0318189000
931	2	0.0057056000
931	3	0.0047773000
941	1	0.0278765000
941	2	0.0051739000
941	3	0.0045002000
951	1	0.0274816000
951	2	0.0034158000
951	3	0.0027878000
961	1	0.0356258000
961	2	0.0064142000
961	3	0.0044802000
971	1	0.0303136000
971	2	0.0033811000
971	3	0.0025592000
981	1	0.0252886000
981	2	0.0033868000
981	3	0.0036641000
991	1	0.0274896000
991	2	0.0033627000
991	3	0.0025951000
