n	Pivot choice	Time taken (seconds)
841	1	0.0110519000
841	2	0.0022857000
841	3	0.0019949000
851	1	0.0109796000
851	2	0.0024579000
851	3	0.0021074000
861	1	0.0112284000
861	2	0.0023482000
861	3	0.0020901000
871	1	0.0115382000
871	2	0.0026413000
871	3	0.0021442000
881	1	0.0120408000
881	2	0.0026128000
881	3	0.0021703000
891	1	0.0122857000
891	2	0.0028500000
891	3	0.0022410000
901	1	0.0125734000
901	2	0.0026855000
901	3	0.0022194000
911	1	0.0128963000
911	2	0.0031484000
911	3	0.0022516000
921	1	0.0130395000
921	2	0.0028286000
921	3	0.0022575000
931	1	0.0132933000
931	2	0.0029005000
931	3	0.0022654000
941	1	0.0136258000
941	2	0.0029250000
941	3	0.0038698000
951	1	0.0144180000
951	2	0.0029796000
951	3	0.0023360000
961	1	0.0142195000
961	2	0.0031505000
961	3	0.0022757000
971	1	0.0143060000
971	2	0.0031526000
971	3	0.0023672000
981	1	0.0149070000
981	2	0.0044710000
981	3	0.0023126000
991	1	0.0149369000
991	2	0.0030819000
991	3	0.0024489000
