n	Pivot choice	Time taken (seconds)
841	1	0.0022221000
841	2	0.0027769000
841	3	0.0024318000
851	1	0.0022263000
851	2	0.0028880000
851	3	0.0025064000
861	1	0.0022916000
861	2	0.0025563000
861	3	0.0022312000
871	1	0.0024188000
871	2	0.0026734000
871	3	0.0023988000
881	1	0.0024532000
881	2	0.0045004000
881	3	0.0025203000
891	1	0.0027580000
891	2	0.0028617000
891	3	0.0025099000
901	1	0.0027099000
901	2	0.0029505000
901	3	0.0025527000
911	1	0.0028240000
911	2	0.0035096000
911	3	0.0029567000
921	1	0.0029638000
921	2	0.0030867000
921	3	0.0027568000
931	1	0.0031774000
931	2	0.0030834000
931	3	0.0031250000
941	1	0.0033181000
941	2	0.0031293000
941	3	0.0046996000
951	1	0.0027161000
951	2	0.0030949000
951	3	0.0028964000
961	1	0.0029079000
961	2	0.0032944000
961	3	0.0030119000
971	1	0.0030084000
971	2	0.0033468000
971	3	0.0032511000
981	1	0.0037578000
981	2	0.0037685000
981	3	0.0031401000
991	1	0.0036825000
991	2	0.0034675000
991	3	0.0030165000
