n	Time taken (seconds)
100	0.0001530647
200	0.0003309250
300	0.0005319118
400	0.0007271767
500	0.0009179115
600	0.0011498928
700	0.0013592243
800	0.0015759468
900	0.0017979145
1000	0.0020337105
