n	Time taken (seconds)
100	0.0000891685
200	0.0001688004
300	0.0002517700
400	0.0004670620
500	0.0004067421
600	0.0004839897
700	0.0007891655
800	0.0006380081
900	0.0010089874
1000	0.0011279583
