n	Time taken (seconds)
100	0.0000548363
200	0.0001041889
300	0.0001511574
400	0.0001997948
500	0.0002498627
600	0.0002980232
700	0.0003440380
800	0.0004050732
900	0.0004439354
1000	0.0005292892
