n	Time taken (seconds)
100	0.0001077652
200	0.0002789497
300	0.0003919601
400	0.0005068779
500	0.0006129742
600	0.0007188320
700	0.0008378029
800	0.0009379387
900	0.0010278225
1000	0.0011870861
